"","   color","director_name","num_critic_for_reviews","   duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","    gross","   genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","  language","  country","content_rating","    budget","  title_year","actor_2_facebook_likes","  imdb_score"," aspect_ratio","movie_facebook_likes"
"","Length:5043       ","Length:5043       ","Min.   :  1.0  ","Min.   :  7.0  ","Min.   :    0.0  ","Min.   :    0.0  ","Length:5043       ","Min.   :     0  ","Min.   :      162  ","Length:5043       ","Length:5043       ","Length:5043       ","Min.   :      5  ","Min.   :     0  ","Length:5043       ","Min.   : 0.000  ","Length:5043       ","Length:5043       ","Min.   :   1.0  ","Length:5043       ","Length:5043       ","Length:5043       ","Min.   :2.180e+02  ","Min.   :1916  ","Min.   :     0  ","Min.   :1.600  ","Min.   : 1.18  ","Min.   :     0  "
"","Class :character  ","Class :character  ","1st Qu.: 50.0  ","1st Qu.: 93.0  ","1st Qu.:    7.0  ","1st Qu.:  133.0  ","Class :character  ","1st Qu.:   614  ","1st Qu.:  5340988  ","Class :character  ","Class :character  ","Class :character  ","1st Qu.:   8594  ","1st Qu.:  1411  ","Class :character  ","1st Qu.: 0.000  ","Class :character  ","Class :character  ","1st Qu.:  65.0  ","Class :character  ","Class :character  ","Class :character  ","1st Qu.:6.000e+06  ","1st Qu.:1999  ","1st Qu.:   281  ","1st Qu.:5.800  ","1st Qu.: 1.85  ","1st Qu.:     0  "
"","Mode  :character  ","Mode  :character  ","Median :110.0  ","Median :103.0  ","Median :   49.0  ","Median :  371.5  ","Mode  :character  ","Median :   988  ","Median : 25517500  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Median :  34359  ","Median :  3090  ","Mode  :character  ","Median : 1.000  ","Mode  :character  ","Mode  :character  ","Median : 156.0  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Median :2.000e+07  ","Median :2005  ","Median :   595  ","Median :6.600  ","Median : 2.35  ","Median :   166  "
"",NA,NA,"Mean   :140.2  ","Mean   :107.2  ","Mean   :  686.5  ","Mean   :  645.0  ",NA,"Mean   :  6560  ","Mean   : 48468408  ",NA,NA,NA,"Mean   :  83668  ","Mean   :  9699  ",NA,"Mean   : 1.371  ",NA,NA,"Mean   : 272.8  ",NA,NA,NA,"Mean   :3.975e+07  ","Mean   :2002  ","Mean   :  1652  ","Mean   :6.442  ","Mean   : 2.22  ","Mean   :  7526  "
"",NA,NA,"3rd Qu.:195.0  ","3rd Qu.:118.0  ","3rd Qu.:  194.5  ","3rd Qu.:  636.0  ",NA,"3rd Qu.: 11000  ","3rd Qu.: 62309438  ",NA,NA,NA,"3rd Qu.:  96309  ","3rd Qu.: 13756  ",NA,"3rd Qu.: 2.000  ",NA,NA,"3rd Qu.: 326.0  ",NA,NA,NA,"3rd Qu.:4.500e+07  ","3rd Qu.:2011  ","3rd Qu.:   918  ","3rd Qu.:7.200  ","3rd Qu.: 2.35  ","3rd Qu.:  3000  "
"",NA,NA,"Max.   :813.0  ","Max.   :511.0  ","Max.   :23000.0  ","Max.   :23000.0  ",NA,"Max.   :640000  ","Max.   :760505847  ",NA,NA,NA,"Max.   :1689764  ","Max.   :656730  ",NA,"Max.   :43.000  ",NA,NA,"Max.   :5060.0  ",NA,NA,NA,"Max.   :1.222e+10  ","Max.   :2016  ","Max.   :137000  ","Max.   :9.500  ","Max.   :16.00  ","Max.   :349000  "
"",NA,NA,"NA's   :50  ","NA's   :15  ","NA's   :104  ","NA's   :23  ",NA,"NA's   :7  ","NA's   :884  ",NA,NA,NA,NA,NA,NA,"NA's   :13  ",NA,NA,"NA's   :21  ",NA,NA,NA,"NA's   :492  ","NA's   :108  ","NA's   :13  ",NA,"NA's   :329  ",NA
